Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
SuperBeings,2019-01-01,Bengaluru,IT & Technology,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.","Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
NirogStreet,2018-01-01,New Delhi,Healthcare & Life sciences,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000.0,Series_A,2021-01-01,1096 days,2020-01-02,2020
GODI Energy,2020-01-01,Hyderabad,Manufacturing,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Mahesh Godi,Blue Ashva Capital,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Even,2020-01-01,Bengaluru,Healthcare & Life sciences,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Captain Fresh,2019-01-01,Bengaluru,Transportation & Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India",12000000.0,Series_A,2021-01-01,731 days,2019-01-02,2019
Otipy,2020-01-01,Gurugram,Consumer Goods,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000.0,Series_A,2021-01-01,366 days,2018-01-02,2018
Eka.care,2020-01-01,Bengaluru,Healthcare & Life sciences,A digitally enabled and connected healthcare ecosystem for better health outcomes.,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Edvizo,2017-01-01,Bengaluru,Others,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,1000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Credenc,2017-01-01,New Delhi,Financial Services,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,Avinash Kumar,Capital India,25000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
GlobalBees,2021-01-01,New Delhi,Consumer Goods,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",150000000.0,Series_A,2021-01-01,0 days,2017-01-01,2017
Mynvax,2017-01-01,Bengaluru,Healthcare & Life sciences,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",4000000.0,Series_A,2021-01-01,1461 days,2021-01-01,2021
RiseBird,2018-01-01,Pune,Business Services,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,Ashutosh Seth,SAB Holdings,500000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Uvi Health,2020-01-01,Bengaluru,Healthcare & Life sciences,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,330000.0,Pre_seed,2021-01-01,366 days,2018-01-02,2018
Vegrow,2020-01-01,Bengaluru,Agriculture,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",13000000.0,Seed,2021-01-01,366 days,2018-01-02,2018
NFTically,2021-01-01,Gurugram,IT & Technology,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Toshendra Sharma,Jayanti Kanani,3500000.0,Seed,2021-01-01,0 days,2017-01-01,2017
GalaxyCard,2017-01-01,Gurugram,Financial Services,GalaxyCard is a mobile based Instant Credit Card.,Amit Kumar,JITO Angel Network,450000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Bella Vita Organic,2018-01-01,Gurugram,Healthcare & Life sciences,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,Aakash Anand,Ananta Capital,10000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
CareerNinja,2017-01-01,Mumbai,Education,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Shronit Ladhaniai,Unitus Ventures,3500000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Beco,2018-01-01,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
OneCode,2020-01-01,Bengaluru,IT & Technology,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",5000000.0,Seed,2021-01-01,366 days,2018-01-02,2018
MedPay,2020-01-01,Bengaluru,IT & Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Digantara,2018-01-01,Bengaluru,IT & Technology,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Aqgromalin,2018-01-01,Chennai,Others,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Slang Labs,2017-01-01,Bengaluru,IT & Technology,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,Kumar Rangarajan,100x Entrepreneurs,3500000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
NirogGyan,2019-01-01,Gurugram,Healthcare & Life sciences,"Simplifying Diagnostics for labs, doctors, and people.","Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Ola Electric,2017-01-01,Bengaluru,Manufacturing,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,100000000.0,IPO,2021-01-01,1461 days,2021-01-01,2021
Bikry app,2019-01-01,Noida,Others,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",Abhishek Bhayana,YCombinator,1300000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Little Leap,2020-01-01,New Delhi,Education,Soft Skills that make Smart Leaders,Holistic Development Programs for children in age range 5-15,Vishal Gupta,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
EasyAspataal,2020-01-01,Mumbai,Healthcare & Life sciences,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Pankhuri,2019-01-01,Bengaluru,Business Services,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Pankhuri Shrivastava,Sequoia’s Surge,3200000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Arcana,2019-01-01,Bengaluru,IT & Technology,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000.0,Seed,2021-01-01,731 days,2019-01-02,2019
UrbanKisaan,2017-01-01,Hyderabad,Consumer Goods,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,3500000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Aquaconnect,2017-01-01,Chennai,Agriculture,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,Rajamanohar,"Rebright Partners, Flourish Ventures",4000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Vah Vah!,2020-01-01,Bengaluru,Education,A mission to educate India and make its young and dynamic population job ready.,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000.0,Seed,2021-01-01,366 days,2018-01-02,2018
LetsDressUp,2019-01-01,Gurugram,Consumer Goods,Building India's version of Stitch Fix,Aditya B,"Titan Capital, Sequoia Capital",300000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Sapio Analytics,2019-01-01,Mumbai,IT & Technology,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000.0,Seed,2021-01-01,731 days,2019-01-02,2019
BHyve,2020-01-01,Mumbai,Business Services,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale",3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Indi Energy,2019-01-01,Roorkee,Healthcare & Life sciences,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Dr. ASIT SAHOO,Mumbai Angels Network,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
The Ayurveda Co,2021-01-01,Gurugram,Consumer Goods,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital",3500000.0,Seed,2021-01-01,0 days,2017-01-01,2017
Ati Motors,2017-01-01,Bengaluru,Manufacturing,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
peAR,2018-01-01,Mumbai,Others,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,300000.0,Series_A,2021-01-01,1096 days,2020-01-02,2020
Gourmet Garden,2019-01-01,Bengaluru,Agriculture,"100% contamination free, pesticide free naturoponically grown vegetables.",Arjun Balaji,"Beyond Next Ventures, M Venture Partners",3000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
TyrePlex,2020-01-01,New Delhi,Business Services,Tyreplex is digitizing the tyre dealers in India.,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
FRAAZO,2020-01-01,Mumbai,Consumer Goods,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",11000000.0,Series_A,2021-01-01,366 days,2018-01-02,2018
WinZO,2018-01-01,New Delhi,Media & Entertainment,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,65000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
TWID,2020-01-01,Bengaluru,Financial Services,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions","Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge",2500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
PeakPerformer,2020-01-01,Bengaluru,Education,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.","Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
MyMobiForce,2018-01-01,Noida,IT & Technology,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,1400000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Pocketly,2019-01-01,Bengaluru,Financial Services,"Pocketly provides quick cash on hand, anytime - anywhere!","Aarav Bhatia, Navdeesh Ahuja",Undisclosed,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Neverinstall,2019-01-01,Bengaluru,IT & Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Earth Rhythm,2020-01-01,Gurugram,Consumer Goods,A mission to make customers healthier and Earth a little greener.,Harini Sivakumar,Anicut Angel Fund,1200000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Fountain9,2019-01-01,Mumbai,IT & Technology,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",1900000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Rockclimber,2019-01-01,Bengaluru,Consumer Goods,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
SpEd@home,2020-01-01,Mumbai,Education,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",Dhaval Mody,Undisclosed,300000.0,Seed,2021-01-01,366 days,2018-01-02,2018
CanPe,2019-01-01,Bengaluru,IT & Technology,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Arindam Choudhury,Axilor Ventures,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
DealShare,2018-01-01,Bengaluru,Retail,The next generation disruptive (social) e-commerce product for the masses.,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Teachmint,2020-01-01,Bengaluru,Education,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Vahak,2017-01-01,Bengaluru,Transportation & Logistics,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Codedamn,2020-01-01,New Delhi,IT & Technology,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,3500000.0,Pre_seed,2021-01-01,366 days,2018-01-02,2018
Biocraft Innovation Technology,2019-01-01,Noida,Others,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,3500000.0,Pre_seed,2021-01-01,731 days,2019-01-02,2019
Powerplay,2020-01-01,Bengaluru,Others,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners",5200000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Accio Robotics,2020-01-01,Bengaluru,Manufacturing,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Jobsgaar,2020-01-01,New Delhi,Others,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Almo,2020-01-01,Gurugram,Consumer Goods,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
GalaxEye,2020-01-01,Chennai,IT & Technology,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,3500000.0,Pre_seed,2021-01-01,366 days,2018-01-02,2018
Good Health Clinic,2021-01-01,Hyderabad,Healthcare & Life sciences,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000.0,Seed,2021-01-01,0 days,2017-01-01,2017
Crejo.Fun,2020-01-01,Bengaluru,Education,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Bambinos,2020-01-01,Bengaluru,Education,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
KreditBee,2018-01-01,Bengaluru,Financial Services,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Onelife Nutriscience,2019-01-01,Mumbai,Healthcare & Life sciences,Onelife Nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Flatheads,2019-01-01,Bengaluru,Consumer Goods,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan",3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Now&Me,2018-01-01,New Delhi,Healthcare & Life sciences,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Fyllo,2019-01-01,Bengaluru,Others,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Cora Health,2020-01-01,Bengaluru,Healthcare & Life sciences,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",Undisclosed,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Swiflearn,2019-01-01,Gurugram,Education,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
QuickSell,2017-01-01,Mumbai,IT & Technology,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Truemeds,2019-01-01,Mumbai,Others,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000.0,Series_A,2021-01-01,731 days,2019-01-02,2019
F5,2018-01-01,New Delhi,Consumer Goods,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
IntelleWings,2019-01-01,Panchkula,IT & Technology,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,Undisclosed,100000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Refyne,2020-01-01,Bengaluru,Financial Services,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",20000000.0,Series_A,2021-01-01,366 days,2018-01-02,2018
Greenjoules,2018-01-01,Pune,Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000.0,Series_A,2021-01-01,1096 days,2020-01-02,2020
MentorKart,2018-01-01,New Delhi,Business Services,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Leverage Edu,2017-01-01,New Delhi,Education,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000.0,IPO,2021-01-01,1461 days,2021-01-01,2021
Wellbeing Nutrition,2019-01-01,Mumbai,Healthcare & Life sciences,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Chqbook,2017-01-01,New Delhi,Financial Services,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
SimpliContract,2020-01-01,Bengaluru,IT & Technology,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Dropshop,2019-01-01,Bengaluru,Transportation & Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Power Gummies,2018-01-01,New Delhi,Others,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9unicorns",1000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Convosight,2019-01-01,New Delhi,IT & Technology,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000.0,Series_A,2021-01-01,731 days,2019-01-02,2019
Junio,2020-01-01,New Delhi,Financial Services,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Wherehouse.io,2020-01-01,New Delhi,Transportation & Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Fampay,2019-01-01,Bengaluru,Financial Services,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000.0,Series_A,2021-01-01,731 days,2019-01-02,2019
Apna,2019-01-01,Bengaluru,Business Services,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000.0,Series_B,2021-01-01,731 days,2019-01-02,2019
XYXX Apparels,2017-01-01,Surat,Consumer Goods,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,Undisclosed,4000000.0,Series_A,2021-01-01,1461 days,2021-01-01,2021
Vital,2018-01-01,New Delhi,Others,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,3000000.0,Seed,2021-01-01,1096 days,2020-01-02,2020
Samaaro,2020-01-01,Bengaluru,IT & Technology,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Seed,2021-01-01,366 days,2018-01-02,2018
MSMEx,2019-01-01,Andheri,Education,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",1000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
saarthi.ai,2017-01-01,Bengaluru,IT & Technology,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,3500000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
Kutumb,2020-01-01,Bengaluru,Others,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000.0,Series_A,2021-01-01,366 days,2018-01-02,2018
Superplum,2019-01-01,Noida,Others,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3800000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Upside AI,2017-01-01,Mumbai,Financial Services,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,1200000.0,Seed,2021-01-01,1461 days,2021-01-01,2021
PazCare,2021-01-01,Bengaluru,Others,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,"Ashish Hemrajani, Parikshit Dar",3500000.0,Seed,2021-01-01,0 days,2017-01-01,2017
Answer Genomics,2019-01-01,Bengaluru,Healthcare & Life sciences,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul Ranganathan,"India Accelerator, Lyxel&Flamingo",3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Bimaplan,2020-01-01,Bengaluru,Others,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",2500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
Bueno Finance,2019-01-01,Gurugram,Financial Services,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",3000000.0,Seed,2021-01-01,731 days,2019-01-02,2019
CityMall,2019-01-01,Gurugram,IT & Technology,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",22000000.0,Series_B,2021-01-01,731 days,2019-01-02,2019
The Switch Fix,2019-01-01,Gurugram,Healthcare & Life sciences,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",3500000.0,Seed,2021-01-01,731 days,2019-01-02,2019
Anvidha Technologies,2020-01-01,Haryana,Others,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,Undisclosed,1500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
DigiSparsh,2020-01-01,Mumbai,Financial Services,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
CoffeeMug.ai,2020-01-01,New Delhi,Others,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",620000.0,Pre_seed,2021-01-01,366 days,2018-01-02,2018
Kazam,2020-01-01,Bengaluru,Transportation & Logistics,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,900000.0,Seed,2021-01-01,366 days,2018-01-02,2018
MYRE Capital,2020-01-01,Mumbai,Media & Entertainment,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,3500000.0,Seed,2021-01-01,366 days,2018-01-02,2018
BimaPe,2020-01-01,Mumbai,Financial Services,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",500000.0,Pre_seed,2021-01-01,366 days,2018-01-02,2018
